rider_id,city_name,TGA_Status,error_codes,contract name,Working Days,batch_number,Planned Working Hours,Actual Working Hours,Attendance Rate %,Avg. Working Hours/ Day,Break Hours,Number of Shifts,no_shows,No Show %,Notified Deliveries,Accepted Deliveries,Completed Deliveries,Stacked Deliveries,Not Accepted Deliveries,Declined Deliveries,Cancelled Deliveries,Acceptance Rate,Lost Hours,Contact Rate
2086230,Riyadh,0,0,shorouk_mansoura_ftr,1,4,11.75,10.98,0.934468085106383,10.98,1.0127777777777778,2,0,0,9,9,9,0,0,0,0,1,0.011111111111111112,0
2093069,Riyadh,0,0,shorouk_mansoura_ftr,1,3,15,14.55,0.9700000000000001,14.55,1.1916666666666667,4,0,0,13,13,13,0,0,0,0,1,0.009444444444444445,0
2014356,Riyadh,0,0,shorouk_mansoura_ftr,1,4,10.75,10.47,0.9739534883720931,10.47,0.5263888888888889,3,0,0,5,3,3,2,0,2,0,0.6,0.015,0
2040745,Riyadh,0,0,shorouk_mansoura_ftr,1,3,13.5,12.23,0.9059259259259259,12.23,1.3541666666666667,3,0,0,12,10,10,0,0,2,0,0.8333333333333334,0.16111111111111112,0
1815910,Riyadh,0,0,shorouk_mansoura_ftr,1,3,12.5,12.06,0.9648,12.06,0.4022222222222222,3,0,0,18,14,14,0,0,4,0,0.7777777777777778,0.034722222222222224,0
2057226,Riyadh,0,0,shorouk_mansoura_ftr,1,3,13,11.81,0.9084615384615385,11.81,1.1755555555555555,3,0,0,23,19,19,0,0,4,0,0.8260869565217391,0.008611111111111111,0
2015869,Riyadh,0,0,shorouk_mansoura_ftr,1,4,16,13.62,0.85125,13.62,0.995,4,0,0,17,14,14,0,0,3,0,0.8235294117647058,4.265555555555555,0
2003951,Riyadh,0,0,shorouk_mansoura_ftr,1,3,11.75,12.24,1,12.24,0.845,3,0,0,16,16,16,2,0,0,0,1,2.2294444444444443,0
2532623,Riyadh,0,0,shorouk_mansoura_ftr,1,5,14,12.48,0.8914285714285715,12.48,1.0508333333333333,3,0,0,15,15,15,0,0,0,0,1,0.9377777777777778,0
2534170,Riyadh,0,0,shorouk_mansoura_ftr,1,5,20.25,16.52,0.8158024691358025,16.52,4.222222222222222,4,0,0,13,13,13,0,0,0,0,1,0.0011111111111111111,0
1848942,Riyadh,0,0,shorouk_mansoura_ftr,1,4,16,14.53,0.908125,14.53,1.3516666666666666,3,0,0,23,22,20,2,0,1,1,0.9565217391304348,0.6861111111111111,0.14285714285714285
2014388,Riyadh,0,0,shorouk_mansoura_ftr,1,4,13.75,15.51,1,15.51,0.15305555555555556,4,0,0,12,9,8,0,0,3,0,0.75,3.0038888888888886,0.125
2056346,Riyadh,0,0,shorouk_mansoura_ftr,1,3,14.75,12.01,0.8142372881355932,12.01,1.741111111111111,4,0,0,16,14,14,2,0,2,0,0.875,1.003611111111111,0
2043795,Riyadh,0,0,shorouk_mansoura_ftr,1,3,16.5,2.78,0.16848484848484846,2.78,0.6508333333333334,1,3,0.75,5,5,5,0,0,0,0,1,0,0
2091748,Riyadh,0,0,shorouk_mansoura_ftr,1,3,12.25,10.98,0.896326530612245,10.98,1.2738888888888888,3,0,0,8,8,8,0,0,0,0,1,0,0
2003962,Riyadh,0,0,shorouk_mansoura_ftr,1,3,23,23.47,1,23.47,0.5325,4,0,0,17,16,16,0,0,1,0,0.9411764705882353,0,0
2003945,Riyadh,0,0,shorouk_mansoura_ftr,1,2,11.75,12.25,1,12.25,0,3,0,0,10,9,9,0,0,1,0,0.9,0.0008333333333333334,0
2532626,Riyadh,0,0,shorouk_mansoura_ftr,1,5,15.5,9.34,0.6025806451612903,9.34,5.645555555555555,5,0,0,5,5,5,0,0,0,0,1,1.0233333333333334,0
2109531,Riyadh,0,0,shorouk_mansoura_ftr,1,4,19.73,4.89,0.2478459199189052,4.89,0.6083333333333333,1,4,0.8,5,5,5,0,0,0,0,1,0,0
2056337,Riyadh,0,0,shorouk_mansoura_ftr,1,4,17.75,14,0.7887323943661971,14,4.398333333333333,4,0,0,13,12,12,0,1,0,0,0.9230769230769231,0.0077777777777777776,0
2014382,Riyadh,0,0,shorouk_mansoura_ftr,1,3,10.72,10.81,1,10.81,0.14777777777777779,2,0,0,8,7,7,0,0,1,0,0.875,0.008055555555555555,0
2003937,Riyadh,0,0,shorouk_mansoura_ftr,1,4,5.25,4.93,0.939047619047619,4.93,0.5130555555555556,1,0,0,3,3,3,0,0,0,0,1,0,0
1981967,Riyadh,0,0,shorouk_mansoura_ftr,1,3,21.5,19.81,0.9213953488372092,19.81,1.9066666666666667,5,0,0,25,22,22,2,0,3,0,0.88,6.244999999999999,0
2014470,Riyadh,0,0,shorouk_mansoura_ftr,1,3,10,10.5,1,10.5,0,2,0,0,7,6,6,0,0,1,0,0.8571428571428571,0.0044444444444444444,0
2003953,Riyadh,0,0,shorouk_mansoura_ftr,1,3,20.25,19.96,0.985679012345679,19.96,0.7769444444444444,5,0,0,9,9,9,0,0,0,0,1,0.011944444444444445,0
1817363,Riyadh,0,0,shorouk_mansoura_ftr,1,3,16,14.9,0.93125,14.9,1.2030555555555555,4,0,0,23,21,21,0,0,2,0,0.9130434782608695,0.14277777777777778,0
